last_name, first_name,player_id,year,player_age,b_total_pa,b_home_run,batting_avg,slg_percent,r_total_stolen_base,r_stolen_base_pct,xba,xslg,exit_velocity_avg,launch_angle_avg,hard_hit_percent,sprint_speed,
Pujols, Albert,405395,2021,41,296,17,.236,.433,2,,.256,.459,90.3,12,39.7,22.4,
Cabrera, Miguel,408234,2021,38,526,15,.256,.386,0,,.231,.415,91.4,10,49,23.9,
Rivera, Rene,425784,2021,38,78,2,.232,.362,0,,.196,.334,88.5,13,39.5,26.0,
Molina, Yadier,425877,2021,39,473,11,.252,.370,3,,.255,.405,88,15.3,31.6,22.6,
Suzuki, Kurt,435559,2021,38,247,6,.224,.342,0,,.203,.308,85.2,14.6,27.2,24.6,
Cruz Jr., Nelson,443558,2021,41,584,32,.265,.497,3,,.264,.504,92.9,11.8,52.5,26.0,
Peralta, David,444482,2021,34,538,8,.259,.402,2,,.241,.343,89.3,5.3,41.8,27.6,
Pina, Manny,444489,2021,34,208,13,.189,.439,0,,.218,.439,86.5,18.8,32.2,25.1,
Escobar, Alcides,444876,2021,35,349,4,.288,.404,3,,.272,.364,81.7,11.1,21,27.4,
Longoria, Evan,446334,2021,36,291,13,.261,.482,1,,.253,.486,94.1,15.5,54.5,26.1,
Cabrera, Asdrubal,452678,2021,36,352,7,.230,.366,1,,.214,.331,87.8,14.5,30.9,24.9,
Blackmon, Charlie,453568,2021,35,582,13,.270,.411,3,,.290,.446,87.6,10.2,38.5,27.7,
Maldonado, Martin,455117,2021,35,426,12,.172,.300,0,,.183,.312,88,17.6,33.2,23.5,
Chirinos, Robinson,455139,2021,37,112,5,.227,.454,0,,.189,.358,89.4,21.7,45.2,24.8,
Cain, Lorenzo,456715,2021,35,286,8,.257,.401,13,,.253,.380,88.4,7.2,37.6,28.7,
Solano, Donovan,456781,2021,34,344,7,.280,.404,2,,.275,.432,88.3,11,36.6,26.1,
McCutchen, Andrew,457705,2021,35,574,27,.222,.444,6,,.239,.429,88.8,14.6,39.5,28.7,
Upton, Justin,457708,2021,34,362,17,.211,.409,4,,.224,.424,90.1,15.6,41.6,27.5,
Turner, Justin,457759,2021,37,612,27,.278,.471,3,,.270,.469,90.9,19.2,42.4,25.5,
Posey III, Buster,457763,2021,34,454,18,.304,.499,0,,.281,.469,88.5,8.7,39.4,24.2,
Votto, Joey,458015,2021,38,533,36,.266,.563,1,,.274,.591,92.9,18.2,53.2,25.1,
Gardner, Brett,458731,2021,38,461,10,.222,.362,4,,.216,.318,86.7,12.5,33.2,28.6,
Andrus, Elvis,462101,2021,33,541,3,.243,.320,13,,.272,.373,87.8,8.1,34.8,26.7,
Sandoval, Pablo,467055,2021,35,86,4,.178,.342,0,,.203,.390,91.5,14,47.9,22.7,
Ramos, Wilson,467092,2021,34,163,8,.205,.397,0,,.235,.411,89.6,6.6,44,23.7,
Santana, Carlos,467793,2021,35,659,19,.214,.342,2,,.243,.418,89.9,12.9,41.9,24.9,
Parra, Gerardo,467827,2021,34,107,2,.237,.351,1,,.213,.297,87.5,15.7,29,26.0,
Mercer, Jordy,474568,2021,35,127,2,.254,.364,0,,.239,.351,86.7,13.2,33.3,26.5,
Belt, Brandon,474832,2021,33,381,29,.274,.597,3,,.243,.523,89.2,23,44.8,25.6,
Zimmerman, Ryan,475582,2021,37,273,14,.243,.471,0,,.231,.416,91.3,7.4,47.8,26.6,
Lowrie, Jed,476704,2021,37,512,14,.245,.398,0,,.259,.464,90.7,16.4,45.9,25.2,
Avila, Alex,488671,2021,34,111,1,.191,.348,0,,.176,.316,88.6,10.8,43.4,24.2,
Brantley Jr., Michael,488726,2021,34,508,8,.311,.437,1,,.312,.466,89.5,9.9,42.9,25.7,
Castro, Jason,488771,2021,34,179,8,.235,.443,0,,.255,.499,90.5,14.5,42.3,26.6,
Gurriel, Yuli,493329,2021,37,605,15,.319,.462,1,,.271,.386,89.8,13.4,42,27.0,
Rojas, Miguel,500743,2021,32,539,9,.265,.392,13,,.248,.344,86.2,11.5,32.9,26.6,
Escobar, Eduardo,500871,2021,32,599,28,.253,.472,1,,.247,.447,87,20.8,34.5,27.4,
Adrianza, Ehire,501303,2021,32,209,5,.247,.401,0,,.248,.368,85.4,13.4,32.6,26.9,
